# 135kHz_100dA_100Mss_NEdd072
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13495.458125852456
# Fase_campo_=_4.716899696720482
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.270020e+00	-1.686630e+00
4.083485e+05	1.049340e+00	1.119226e+00
6.805808e+05	4.528864e-01	-2.313293e+00
9.528131e+05	2.200275e-01	5.692401e-01
1.225045e+06	1.301893e-01	-2.293127e+00
1.497278e+06	1.621430e-01	5.289153e-01
1.769510e+06	5.237393e-02	-2.745851e+00
2.041742e+06	4.639157e-02	2.961043e-02
2.313975e+06	1.973189e-02	2.664068e+00
2.586207e+06	1.868771e-02	-5.503892e-01
